,Bfeature
0,Tomatoes 
1,"Spinach, Baby Spinach"
2,Vinegar
3,Flatbread
4,"Cutlery, Spoon "
5,Green Peppers
6,"Cups, Hot Cup 12 oz. "
7,Sweet Onion Sauce
8,"Cup, Hot Cup, 16 oz. "
9,Ham
10,"Egg, breakfast precooked "
11,"Water, Bottle"
12,"Sub Wrap, Paper Wrap "
13,"Cutlery, Knife & Fork Kit"
14,Straw
15,Deli Paper 
16,Ranch Dressing 
17,Salami 
18,Guacamole
19,"Cups, Cold 21 oz "
20,Soup Bowl
21,Jalapeno Peppers 
22,Fountain Beverage syrup
23,"Juice, Chilled Orange"
24,Tuna 
25,Salad Dressing Packet
26,Teriyaki Glaze 
27,Turkey 
28,"Steak, Shaved"
29,Sweetener packets
30,Cold Cut Combo 
31,"Juice, Bottle"
32,"Pizza, pre-made"
33,Pepperoni
34,House Sandwich Sauce 
35,"Cup, Cold 30 oz. "
36,SUBWAY Card
37,Roast Beef 
38,Veggie Patty 
39,"Soup, Frozen "
40,"Cup, Cold, 40 oz."
41,externalFactor
42,internalFactor
43,marketSize
